Date,AAPL,AMZN,MSFT,NVDA,SPY,TSLA
2021-03-15,120.76569366455078,154.08399963378906,225.31417846679688,13.158799171447754,370.03936767578125,235.97999572753906
2021-03-16,122.30464172363281,154.59300231933594,228.096923828125,13.258553504943848,369.5726623535156,225.6266632080078
2021-03-17,121.51569366455078,156.7864990234375,227.45399475097656,13.308430671691895,370.83282470703125,233.93666076660156
2021-03-18,117.39569091796875,151.39950561523438,221.3895721435547,12.691201210021973,365.437255859375,217.72000122070312
2021-03-19,116.86970520019531,153.7480010986328,221.0345458984375,12.814148902893066,364.7611389160156,218.2899932861328
2021-03-22,120.18131256103516,155.5435028076172,226.4464569091797,13.153809547424316,367.6737365722656,223.3333282470703
2021-03-23,119.35340881347656,156.875,227.97216796875,13.038594245910645,364.7798767089844,220.72000122070312
2021-03-24,116.96710968017578,154.35350036621094,225.93789672851562,12.611898422241211,362.9255676269531,210.08999633789062
2021-03-25,117.4541244506836,152.31300354003906,222.94407653808594,12.504410743713379,364.96722412109375,213.4633331298828
2021-03-26,118.05801391601562,152.60150146484375,226.91664123535156,12.807663917541504,370.84857177734375,206.23666381835938
2021-03-29,118.23332977294922,153.7864990234375,225.72682189941406,12.91639518737793,370.6612854003906,203.76333618164062
2021-03-30,116.78206634521484,152.76449584960938,222.47393798828125,12.840082168579102,369.6779479980469,211.8733367919922
2021-03-31,118.97356414794922,154.70399475097656,226.23538208007812,13.315413475036621,371.1763610839844,222.64332580566406
2021-04-01,119.80145263671875,158.0500030517578,232.5492706298828,13.77777099609375,375.18475341796875,220.5833282470703
2021-04-05,122.62602996826172,161.3365020751953,238.99754333496094,13.953085899353027,380.56982421875,230.35000610351562
2021-04-06,122.92797088623047,161.1909942626953,237.83644104003906,13.827399253845215,380.3450622558594,230.5399932861328
2021-04-07,124.57403564453125,163.96949768066406,239.79393005371094,14.10870361328125,380.78515625,223.6566619873047
2021-04-08,126.9700698852539,164.96499633789062,243.00845336914062,14.281778335571289,382.5927429199219,227.93333435058594
2021-04-09,129.5414276123047,168.61000061035156,245.50331115722656,14.36457347869873,385.374267578125,225.67333984375
2021-04-12,127.82718658447266,168.96949768066406,245.5608673095703,15.17158317565918,385.5147399902344,233.9933319091797
2021-04-13,130.93426513671875,170.0,248.0365753173828,15.640924453735352,386.6572570800781,254.10667419433594
2021-04-14,128.5966339111328,166.64999389648438,245.25384521484375,15.239418029785156,385.3367919921875,244.07666015625
2021-04-15,131.00241088867188,168.95449829101562,249.00572204589844,16.097551345825195,389.47625732421875,246.28334045410156
2021-04-16,130.6712646484375,169.9720001220703,250.195556640625,15.873353958129883,390.77813720703125,246.5933380126953
2021-04-19,131.3335418701172,168.60049438476562,248.27642822265625,15.323957443237305,388.858154296875,238.2100067138672
2021-04-20,129.64854431152344,166.7344970703125,247.8158416748047,15.133927345275879,386.0111083984375,239.663330078125
2021-04-21,130.02841186523438,168.1009979248047,250.04202270507812,15.322710990905762,389.6636047363281,248.0399932861328
2021-04-22,128.50900268554688,165.45199584960938,246.76995849609375,14.813715934753418,386.104736328125,239.89666748046875
2021-04-23,130.8271026611328,167.04400634765625,250.5890350341797,15.22769546508789,390.2909851074219,243.13333129882812
2021-04-26,131.2166748046875,170.4499969482422,250.97276306152344,15.439920425415039,391.1058044433594,246.06666564941406
2021-04-27,130.89527893066406,170.8715057373047,251.37582397460938,15.34390926361084,391.02154541015625,234.913330078125
2021-04-28,130.10633850097656,172.9250030517578,244.2655029296875,15.239167213439941,390.90911865234375,231.46665954589844
2021-04-29,130.00897216796875,173.5655059814453,242.29837036132812,15.28704833984375,393.40032958984375,225.6666717529297
2021-04-30,128.04148864746094,173.37100219726562,241.9817352294922,14.972575187683105,390.8155212402344,236.47999572753906
2021-05-03,129.0933837890625,169.32449340820312,241.6746826171875,14.800249099731445,391.6584167480469,228.3000030517578
2021-05-04,124.52531433105469,165.593505859375,237.76927185058594,14.315942764282227,389.2421569824219,224.53334045410156
2021-05-05,124.76885223388672,163.52699279785156,236.5026397705078,14.422928810119629,389.36383056640625,223.64666748046875
2021-05-06,126.36616516113281,165.31849670410156,239.63079833984375,14.487273216247559,392.47314453125,221.17999267578125
2021-05-07,127.03939056396484,164.58050537109375,242.25042724609375,14.775811195373535,395.3296203613281,224.1233367919922
2021-05-10,123.76116180419922,159.52450561523438,237.18392944335938,14.230655670166016,391.41485595703125,209.67999267578125
2021-05-11,122.8440933227539,161.19549560546875,236.27236938476562,14.2710542678833,387.921630859375,205.73333740234375
2021-05-12,119.78053283691406,157.5970001220703,229.33474731445312,13.724655151367188,379.68017578125,196.6300048828125
2021-05-13,121.92698669433594,158.07350158691406,233.20175170898438,13.631631851196289,384.2410583496094,190.56333923339844
2021-05-14,124.34658813476562,161.14500427246094,238.11471557617188,14.20796012878418,390.14117431640625,196.5800018310547
2021-05-17,123.19532012939453,163.51950073242188,235.26480102539062,14.130650520324707,389.1484680175781,192.27667236328125
2021-05-18,121.8099136352539,161.61399841308594,233.249755859375,13.981269836425781,385.79571533203125,192.6233367919922
2021-05-19,121.65380859375,161.58999633789062,233.82679748535156,14.031147956848145,384.7842102050781,187.82000732421875
2021-05-20,124.21001434326172,162.38400268554688,237.05838012695312,14.576552391052246,388.9236755371094,195.5933380126953
2021-05-21,122.37577056884766,160.1540069580078,235.79847717285156,14.95486831665039,388.6052551269531,193.6266632080078
2021-05-24,124.00511932373047,162.24949645996094,241.19398498535156,15.573592185974121,392.56689453125,202.14666748046875
2021-05-25,123.80998992919922,162.95249938964844,242.09808349609375,15.60925579071045,391.69580078125,201.56333923339844
2021-05-26,123.76116180419922,163.25799560546875,241.87689208984375,15.661375999450684,392.47314453125,206.3766632080078
2021-05-27,122.22943115234375,161.5054931640625,239.7802276611328,15.449896812438965,392.6792297363281,210.28334045410156
2021-05-28,121.57574462890625,161.15350341796875,240.13601684570312,16.20453643798828,393.3816223144531,208.4066619873047
2021-06-01,121.25377655029297,160.9324951171875,237.94320678710938,16.224485397338867,393.0351257324219,207.96665954589844
2021-06-02,122.01477813720703,161.69949340820312,237.84703063964844,16.73697280883789,393.6532897949219,201.7066650390625
2021-06-03,120.53180694580078,159.35049438476562,236.31787109375,16.92800521850586,392.192138671875,190.94667053222656
2021-06-04,122.82456970214844,160.31100463867188,241.20361328125,17.53500747680664,395.7791748046875,199.68333435058594
2021-06-07,122.8343276977539,159.90049743652344,244.1082305908203,17.57565689086914,395.3951110839844,201.7100067138672
2021-06-08,123.65386962890625,163.20550537109375,242.91558837890625,17.41405487060547,395.4794921875,201.19667053222656
2021-06-09,124.03439331054688,164.0574951171875,243.89659118652344,17.31951332092285,394.88946533203125,199.5933380126953
2021-06-10,123.03921508789062,167.4824981689453,247.4070587158203,17.3861141204834,396.7250671386719,203.3733367919922
2021-06-11,124.24903869628906,167.3415069580078,248.03221130371094,17.785470962524414,397.380615234375,203.29666137695312
2021-06-14,127.30278015136719,169.19349670410156,249.9557647705078,17.978540420532227,398.2703552246094,205.89666748046875
2021-06-15,126.48326873779297,169.156494140625,248.48428344726562,17.74880599975586,397.5398254394531,199.7866668701172
2021-06-16,126.9808349609375,170.7624969482422,247.54173278808594,17.770505905151367,395.3201599121094,201.6233367919922
2021-06-17,128.58087158203125,174.46200561523438,250.92723083496094,18.615615844726562,395.1890869140625,205.53334045410156
2021-06-18,127.28331756591797,174.34500122070312,249.51332092285156,18.597156524658203,389.85791015625,207.77000427246094
2021-06-21,129.07852172851562,172.697998046875,252.59100341796875,18.386131286621094,395.4390563964844,206.94332885742188
2021-06-22,130.71755981445312,175.27200317382812,255.3610382080078,18.844602584838867,397.55316162109375,207.90333557128906
2021-06-23,130.4443817138672,175.1909942626953,255.13014221191406,19.014726638793945,397.073974609375,218.85667419433594
2021-06-24,130.16148376464844,172.45399475097656,256.4959411621094,19.162641525268555,399.4229431152344,226.60667419433594
2021-06-25,129.86875915527344,170.072998046875,254.88967895507812,18.98853302001953,400.8417663574219,223.9566650390625
2021-06-28,131.49807739257812,172.1945037841797,258.4482727050781,19.94040298461914,401.6497497558594,229.57333374023438
2021-06-29,133.01036071777344,172.40699768066406,261.02581787109375,19.982057571411133,401.8658752441406,226.9199981689453
2021-06-30,133.62503051757812,172.00799560546875,260.544921875,19.957862854003906,402.20416259765625,226.56666564941406
2021-07-01,133.92747497558594,171.64849853515625,261.21820068359375,20.166894912719727,404.4309997558594,225.97332763671875
2021-07-02,136.55197143554688,175.5489959716797,267.03692626953125,20.441286087036133,407.5223083496094,226.3000030517578
2021-07-06,138.5618133544922,183.78700256347656,267.0464782714844,20.65230941772461,406.77996826171875,219.86000061035156
2021-07-07,141.04971313476562,184.82899475097656,269.2297058105469,20.3262939453125,408.2175598144531,214.88333129882812
2021-07-08,139.75209045410156,186.57049560546875,266.81573486328125,19.858335494995117,404.8913879394531,217.60333251953125
2021-07-09,141.57655334472656,185.9669952392578,267.31585693359375,20.00550651550293,409.2134704589844,218.98333740234375
2021-07-12,140.98141479492188,185.92750549316406,266.71954345703125,20.466726303100586,410.6793212890625,228.56666564941406
2021-07-13,142.09365844726562,183.8679962158203,270.2396545410156,20.204811096191406,409.2792663574219,222.84666442871094
2021-07-14,145.5181884765625,184.08399963378906,271.7111511230469,19.797222137451172,409.89007568359375,217.7933349609375
2021-07-15,144.86453247070312,181.55999755859375,270.2878112792969,18.923925399780273,408.49005126953125,216.86666870117188
2021-07-16,142.82537841796875,178.68150329589844,270.01837158203125,18.120471954345703,405.2860412597656,214.74000549316406
2021-07-19,138.9813690185547,177.47950744628906,266.42138671875,18.737842559814453,399.30084228515625,215.4066619873047
2021-07-20,142.5912628173828,178.6595001220703,268.64306640625,18.570466995239258,405.02301025390625,220.1666717529297
2021-07-21,141.85951232910156,179.25999450683594,270.6435546875,19.366687774658203,408.3021240234375,218.42999267578125
2021-07-22,143.22540283203125,181.90150451660156,275.202392578125,19.550277709960938,409.1572265625,216.4199981689453
2021-07-23,144.94256591796875,182.83200073242188,278.5974426269531,19.514354705810547,413.3665771484375,214.4600067138672
2021-07-26,145.36209106445312,184.99099731445312,278.0011291503906,19.250946044921875,414.38134765625,219.2066650390625
2021-07-27,143.1961212158203,181.3195037841797,275.5870666503906,19.165136337280273,412.49273681640625,214.92666625976562
